0b f9 7d ff 2b fd e5 ef ef ff bd 00 18 ff fd 00 
0b fb 6a ff 1e fd dc ef f9 ff bd 00 18 ff fc 00 
0b fd 2d ff 1b fd d4 ef f8 ff bb 00 18 ff fb 00 
0c 04 0d ff 23 fd cc ef e5 ff bb 00 18 ff fd 00 
0c 01 91 ff 1c fd c6 f0 1e ff bd 00 19 ff fc 00 
0c 07 80 ff 28 fd cd f0 03 ff bb 00 1a ff fb 00 
0c 06 57 ff 1e fd cf ef f1 ff ba 00 18 ff fd 00 
0c 08 f9 ff 20 fd d6 f0 05 ff ba 00 17 ff fb 00 
0c 0f 31 ff 23 fd d8 f0 09 ff b8 00 19 ff fe 00 
0c 0c ac ff 2e fd ce f0 04 ff bc 00 18 ff fe 00 
0c 12 fd ff 1a fd cf f0 09 ff bd 00 19 ff fd 00 
0c 10 64 ff 24 fd c6 ef ee ff bd 00 19 ff fd 00 
0c 12 95 ff 12 fd d3 ef de ff be 00 18 ff fd 00 
0c 18 5c ff 22 fd d1 ef f2 ff bb 00 18 ff fc 00 
0c 15 33 ff 18 fd e1 ef fd ff bd 00 1b ff fd 00 
0c 1b 41 ff 23 fd d2 f0 0d ff ba 00 17 ff fc 00 
0c 17 0e ff 20 fd d6 ef ff ff b9 00 18 ff fc 00 
0c 18 e4 ff 24 fd dd ef e9 ff ba 00 17 ff fc 00 
0c 1d 07 ff 1d fd e0 f0 02 ff bb 00 18 ff fd 00 
0c 19 f3 ff 1a fd c4 ef ef ff ba 00 18 ff fd 00 
0c 1f de ff 2f fd b9 ef eb ff be 00 17 ff fb 00 
0c 1b 02 ff 26 fd d3 ef f5 ff bc 00 19 ff fb 00 
0c 1c 6d ff 33 fd d6 ef f9 ff bd 00 1a ff fc 00 
0c 1e 99 ff 0e fd de f0 13 ff bd 00 1c ff fd 00 
0c 1b 4f ff 20 fd d0 ef ef ff bd 00 1a ff fc 00 
0c 1f b9 ff 1e fd d6 ef fb ff be 00 1e ff fd 00 
0c 1a 1d ff 32 fd de ef f9 ff bc 00 19 ff fc 00 
0c 1a 6c ff 35 fd e1 ef fe ff ba 00 19 ff fe 00 
0c 19 5a ff 23 fd db f0 02 ff bb 00 1a ff fc 00 
0c 14 60 ff 18 fd db ef d2 ff bb 00 1a ff fc 00 
0c 14 d6 ff 29 fd d8 ef fb ff bd 00 17 ff fb 00 
